ID,Parameter_ID,Language_ID,Value,Source
semantic-water-1614,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1615,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1616,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1617,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1619,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1620,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1622,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1625,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1632,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-1639,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-1642,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-1649,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-1658,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1670,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-1675,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-1679,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1680,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-1683,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-water-1683,semantic-field,wbv,water/liquid,Wajarri Dictionary
