slug,name,family,macroarea,glottocode,iso639_3,austlang,lat,lon,coord_provenance,coord_approximate,tier,endangerment,grammar_profiled,grammar_feature_count,lexicon_state,word_count,deep_time_divergence_bp,classification_chain
n133,Wurunggugu,unclassified,Australia,,,N133,,,none,,listed,unknown,false,,pointer_only,,,
n136,Yithuwa,unclassified,Australia,,,N136,,,none,,listed,unknown,false,,pointer_only,,,
n143,Djarn,unclassified,Australia,,,N143,,,none,,listed,unknown,false,,pointer_only,,,
n144,Bilamandyi,unclassified,Australia,,,N144,,,none,,listed,unknown,false,,pointer_only,,,
n146,Marradhanggimirr,unclassified,Australia,,,N146,,,none,,listed,unknown,false,,pointer_only,,,
n148,Gobadeindamirr,unclassified,Australia,,,N148,,,none,,listed,unknown,false,,pointer_only,,,
n150,Galawlwan,unclassified,Australia,,,N150,,,none,,listed,unknown,false,,pointer_only,,,
n156,Nalawgi,unclassified,Australia,,,N156,,,none,,listed,unknown,false,,pointer_only,,,
n165,Marrabanggu,unclassified,Australia,,,N165,,,none,,listed,unknown,false,,pointer_only,,,
n166,Marranumbu,unclassified,Australia,,,N166,,,none,,listed,unknown,false,,pointer_only,,,
n167,Ngan-wirlang,unclassified,Australia,,,N167,,,none,,listed,unknown,false,,pointer_only,,,
n168,Djimbilirri,unclassified,Australia,,,N168,,,none,,listed,unknown,false,,pointer_only,,,
n169,Kerniyn'mi,unclassified,Australia,,,N169,-13.653748798659,133.58505062055,austlang,true,listed,unknown,false,,pointer_only,,,
n170,Gumunggurdu,unclassified,Australia,,,N170,,,none,,listed,unknown,false,,pointer_only,,,
n172,Gunguluwala,unclassified,Australia,,,N172,,,none,,listed,unknown,false,,pointer_only,,,
n174,Gurrigurri,unclassified,Australia,,,N174,,,none,,listed,unknown,false,,pointer_only,,,
n176,Letpurrirt,unclassified,Australia,,,N176,-14.155314254155,132.25380753215,austlang,true,listed,unknown,false,,pointer_only,,,
n177,Ngarlahmi,unclassified,Australia,,,N177,-14.088364788678,132.35995922452,austlang,true,listed,unknown,false,,pointer_only,,,
n178,Ngorrkgowo,unclassified,Australia,,,N178,-13.451842280087,131.67795069298,austlang,true,listed,unknown,false,,pointer_only,,,
n179,Ngardawuli,unclassified,Australia,,,N179,-11.289816506622,131.932295025,austlang,true,listed,unknown,false,,pointer_only,,,
n180,Urrirrk,unclassified,Australia,,,N180,-11.917680427487,132.64868498288,austlang,true,listed,unknown,false,,pointer_only,,,
n181,Wurdang,unclassified,Australia,,,N181,-11.287065943632,131.92353745375,austlang,true,listed,unknown,false,,pointer_only,,,
n182,Gidjurra,unclassified,Australia,,,N182,-12.132752733411,132.93719448067,austlang,true,listed,unknown,false,,pointer_only,,,
n185,Burdinmanduwij,unclassified,Australia,,,N185,-11.310284499821,131.92911837038,austlang,true,listed,unknown,false,,pointer_only,,,
n186,Bininj Gun-wok / Bininj Kunwok,unclassified,Australia,,,N186,-12.577995865423,133.55663593801,austlang,true,listed,unknown,false,,pointer_only,,,
n189,Mukngirru,unclassified,Australia,,,N189,-12.927609963479,130.53746686425,austlang,true,listed,unknown,false,,pointer_only,,,
n194,Buralka,unclassified,Australia,,,N194,,,none,,listed,unknown,false,,pointer_only,,,
n195,Dhamarrangdji,unclassified,Australia,,,N195,,,none,,listed,unknown,false,,pointer_only,,,
n196,Nyekuymirri,unclassified,Australia,,,N196,,,none,,listed,unknown,false,,pointer_only,,,
n197,Wutjara,unclassified,Australia,,,N197,,,none,,listed,unknown,false,,pointer_only,,,
n207,Wora,unclassified,Australia,,,N207,,,none,,listed,unknown,false,,pointer_only,,,
n208,Munggurrpi,unclassified,Australia,,,N208,,,none,,listed,unknown,false,,pointer_only,,,
n210,Walmapuy,unclassified,Australia,,,N210,,,none,,listed,unknown,false,,pointer_only,,,
n213,Bindararr,unclassified,Australia,,,N213,,,none,,listed,unknown,false,,pointer_only,,,
n215,Marranj,unclassified,Australia,,,N215,-13.65277213493,130.0736750837,austlang,true,listed,unknown,false,,pointer_only,,,
